"idBank";"Dernière mise à jour";"Zone géographique";"Correction";"Indicateur";"Unité";"Puissance";"Nature";"Périodicité"
"001515898";"29/06/2023 12:00";"33 - Gironde";"Corrigé des variations saisonnières";"Taux de chômage localisé";"%";"0";"Proportion";"Trimestrielle"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
